id;street_address;postal_code;city;state_province
1;mask;restroom;Северобайкальск;astride
2;to brr fanny-pack;limp since questioningly;Бугуруслан;infringe yum which
3;out;fooey fool mysteriously;Елатьма;for biodegradable patiently
4;harsh;eat complete;Йошкар-Ола;closed
5;brr;outclass;Старый Оскол;recess
6;deficient hexagon huzzah;finish invalid appeal;Александров Гай;following gumshoe
7;why gah;lazily revert yahoo;Кырен;if outside
8;rifle;sprinkle who loudly;Северодвинск;blah
9;off truthfully humongous;gosh content miserable;Волоколамск;whimper about
10;enchanted ajar astrologer;rundown geez drone;Ноглики;knobby
